ORF,FOP,instability index
YDL107W,0.42,39.43
YDL108W,0.43,37.65
YDL109C,0.45,41.54
YDL110C,0.54,30.94
YDL111C,0.43,34.68
YDL112W,0.45,37.54
YDL113C,0.47,40.83
YDL114W,0.41,43.83
YDL115C,0.39,55.24
YDL116W,0.48,42.81
YDL117W,0.44,43.76
YDL118W,0.39,40.97
YDL119C,0.39,42.11
YDL120W,0.4,50.07
YDL121C,0.46,31.11
YDL122W,0.5,49.83
YDL123W,0.47,70.71
YDL124W,0.55,48.41
YDL125C,0.6,32.47
YDL126C,0.64,30.67
YDL127W,0.48,44.52
YDL128W,0.53,27.3
YDL129W,0.4,51.55
YDL130W,0.87,38.52
YDL131W,0.68,33.78
YDL132W,0.49,45.25
YDL133W,0.45,37.62
YDL134C,0.46,33.4
YDL133C-A,0.83,102.31
YDL135C,0.52,25.3
YDL136W,0.92,41.97
YDL137W,0.73,40.89
YDL138W,0.47,36.17
YDL139C,0.43,44.41
YDL140C,0.55,55.1
YDL141W,0.46,33.67
YDL142C,0.36,39.49
YDL143W,0.62,41.66
YDL144C,0.5,40.05
YDL145C,0.58,31.95
YDL146W,0.49,43.62
YDL147W,0.48,41.58
YDL148C,0.53,47.65
YDL149W,0.43,40.76
YDL150W,0.48,44.67
YDL151C,0.39,61.05
YDL152W,0.44,66.01
YDL153C,0.53,53.77
YDL154W,0.43,38.83
YDL155W,0.46,55.92
YDL156W,0.46,39.35
YDL157C,0.55,46.97
YDL158C,0.51,40.14
YDL159W,0.44,39.33
YDL160C,0.56,46.86
YDL161W,0.49,66.68
YDL162C,0.48,51.97
YDL163W,0.43,43.69
YDL164C,0.5,40.24
YDL165W,0.46,44.34
YDL166C,0.47,47.13
YDL167C,0.45,48.27
YDL168W,0.59,27.17
YDL169C,0.37,36.6
YDL170W,0.45,43.11
YDL171C,0.63,32.21
YDL172C,0.5,43.91
YDL173W,0.52,42.78
YDL174C,0.58,27.59
YDL175C,0.42,48.48
YDL176W,0.4,39.09
YDL177C,0.49,57.22
YDL178W,0.51,42.64
YDL179W,0.45,53.76
YDL180W,0.41,37.14
YDL181W,0.49,62.41
YDL182W,0.69,32.73
YDL183C,0.4,43.41
YDL184C,0.83,102.31
YDL185W,0.65,32.81
YDL186W,0.46,72.98
YDL187C,0.42,46.03
YDL188C,0.48,32.64
YDL189W,0.44,60.54
YDL190C,0.49,42.59
YDL191W,0.93,41.97
YDL192W,0.8,34.26
YDL193W,0.53,40.82
YDL194W,0.46,39.57
YDL195W,0.55,47.4
YDL196W,0.43,64.13
YDL197C,0.45,54.7
YDL198C,0.57,28.22
YDL199C,0.42,40.16
YDL200C,0.41,31.93
YDL201W,0.53,36.79
YDL202W,0.47,37.09
YDL203C,0.44,42.13
YDL204W,0.55,34.19
YDL205C,0.55,43.86
YDL206W,0.4,41.08
YDL207W,0.43,54.84
YDL208W,0.71,43.52
YDL209C,0.4,38.7
YDL210W,0.58,36.27
YDL211C,0.45,49.87
YDL212W,0.58,33.72
YDL213C,0.52,33.64
YDL214C,0.46,50.36
YDL215C,0.53,34.1
YDL216C,0.4,49.72
YDL217C,0.41,36.01
YDL218W,0.51,31.61
YDL219W,0.51,38.31
YDL220C,0.42,48.47
YDL221W,0.41,63.62
YDL222C,0.48,34.26
YDL223C,0.51,42.76
YDL224C,0.43,56.71
YDL225W,0.54,42.65
YDL226C,0.48,44.58
YDL227C,0.45,42.14
YDL228C,0.6,53.09
YDL229W,0.93,36.03
YDL230W,0.45,39.13
YDL231C,0.47,43.44
YDL232W,0.78,38.84
YDL233W,0.45,46.93
YDL234C,0.47,45.92
YDL235C,0.54,30.66
YDL236W,0.55,34.45
YDL237W,0.47,34.68
YDL238C,0.45,31.99
YDL239C,0.42,55.16
YDL240W,0.45,43.21
YDL241W,0.39,34.07
YDL242W,0.47,59.89
YDL243C,0.49,42.82
YDL244W,0.81,34.52
YDL245C,0.53,34.57
YDL246C,0.57,25.63
YDL247W,0.46,40.4
YDL248W,0.47,40.3
YDR001C,0.51,38.94
YDR002W,0.75,43.98
YDR003W,0.39,65.36
YDR004W,0.41,46.51
YDR005C,0.39,53.8
YDR006C,0.47,53.53
YDR007W,0.43,37.93
YDR008C,0.44,83.26
YDR009W,0.46,35.04
YDR010C,0.47,22.76
YDR011W,0.52,39.54
YDR012W,0.96,32.42
YDR013W,0.41,51.15
YDR014W,0.4,47.02
YDR015C,0.47,53.42
YDR016C,0.42,63.18
YDR017C,0.44,49.16
YDR018C,0.46,26.13
YDR019C,0.48,35.85
YDR020C,0.46,40.33
YDR021W,0.48,35.85
YDR022C,0.42,35.26
YDR023W,0.69,41.0
YDR024W,0.35,47.56
YDR025W,0.91,53.32
YDR026C,0.47,47.19
YDR027C,0.41,45.16
YDR028C,0.44,49.87
YDR029W,0.4,50.49
YDR030C,0.42,44.81
YDR031W,0.42,61.29
YDR032C,0.74,26.49
YDR033W,0.78,30.59
YDR034C,0.43,38.6
YDR035W,0.63,29.02
YDR036C,0.56,45.56
YDR037W,0.72,40.87
YDR038C,0.54,36.04
YDR039C,0.55,35.37
YDR040C,0.55,34.09
YDR041W,0.44,43.99
YDR042C,0.42,34.83
YDR043C,0.38,51.27
YDR044W,0.75,45.32
YDR045C,0.45,60.31
YDR046C,0.53,33.93
YDR047W,0.52,37.25
YDR048C,0.3,73.45
YDR049W,0.48,45.89
YDR050C,0.91,19.42
YDR051C,0.49,33.29
YDR052C,0.45,38.64
YDR053W,0.48,35.47
YDR054C,0.49,61.98
YDR055W,0.63,35.91
YDR056C,0.46,35.36
YDR057W,0.42,33.69
YDR058C,0.43,34.67
YDR059C,0.51,47.59
YDR060W,0.51,42.06
YDR061W,0.4,48.18
YDR062W,0.56,42.3
YDR063W,0.49,55.71
YDR064W,0.94,42.14
YDR065W,0.43,43.24
YDR066C,0.34,40.73
YDR067C,0.44,46.26
YDR068W,0.47,52.71
YDR069C,0.46,48.46
YDR070C,0.61,38.05
YDR071C,0.6,46.79
YDR072C,0.46,39.79
YDR073W,0.34,43.93
YDR074W,0.57,39.36
YDR075W,0.44,16.95
YDR076W,0.42,51.8
YDR077W,0.83,36.23
YDR078C,0.37,30.95
YDR079W,0.35,29.38
YDR080W,0.44,39.24
YDR081C,0.41,43.44
YDR082W,0.42,34.52
YDR083W,0.51,48.42
YDR084C,0.44,50.32
YDR085C,0.43,45.8
YDR086C,0.77,16.73
YDR087C,0.47,40.9
YDR088C,0.45,41.32
YDR089W,0.43,48.36
YDR090C,0.51,30.18
YDR091C,0.67,36.5
YDR092W,0.46,41.74
YDR093W,0.5,40.88
YDR094W,0.41,56.58
YDR095C,0.38,57.47
YDR096W,0.46,48.94
YDR097C,0.46,45.0
YDR098C,0.52,51.47
YDR099W,0.7,63.56
YDR100W,0.48,31.46
YDR101C,0.58,40.64
YDR102C,0.41,40.31
YDR103W,0.44,47.83
YDR104C,0.44,49.23
YDR105C,0.44,32.16
YDR106W,0.45,59.07
YDR107C,0.45,33.64
YDR108W,0.41,40.11
YDR109C,0.45,41.48
YDR110W,0.42,47.76
YDR111C,0.51,37.18
YDR112W,0.44,37.86
YDR113C,0.42,59.75
YDR114C,0.47,46.27
YDR115W,0.48,78.07
YDR116C,0.44,44.12
YDR117C,0.5,27.91
YDR118W,0.39,35.3
YDR119W,0.44,43.07
YDR120C,0.49,48.01
YDR121W,0.43,50.31
YDR122W,0.45,53.44
YDR123C,0.45,54.03
YDR124W,0.36,51.59
YDR125C,0.45,50.73
YDR126W,0.42,48.42
YDR127W,0.56,32.21
YDR128W,0.41,44.13
YDR129C,0.57,38.09
YDR130C,0.39,67.53
YDR131C,0.41,43.26
YDR132C,0.44,50.34
YDR133C,0.29,52.62
YDR134C,,
YDR135C,0.48,35.88
YDR136C,0.35,37.79
YDR137W,0.4,37.94
YDR138W,0.47,49.41
YDR139C,0.45,25.08
YDR140W,0.42,34.86
YDR141C,0.44,42.47
YDR142C,0.4,28.64
YDR143C,0.5,46.62
YDR144C,0.46,30.24
YDR145W,0.45,54.9
YDR146C,0.46,56.61
YDR147W,0.4,46.58
YDR148C,0.61,37.06
YDR149C,0.43,40.85
YDR150W,0.47,39.61
YDR151C,0.42,46.46
YDR152W,0.54,35.15
YDR153C,0.49,45.39
YDR154C,0.46,67.53
YDR155C,0.86,18.93
YDR156W,0.55,33.45
YDR157W,0.41,50.34
YDR158W,0.75,38.91
YDR159W,0.44,51.61
YDR160W,0.43,38.85
YDR161W,0.46,44.11
YDR162C,0.39,41.03
YDR163W,0.36,50.4
YDR164C,0.48,44.3
YDR165W,0.49,41.14
YDR166C,0.48,43.97
YDR167W,0.39,42.9
YDR168W,0.5,44.19
YDR169C,0.41,59.11
YDR170C,0.53,46.41
YDR171W,0.54,57.37
YDR172W,0.66,41.33
YDR173C,0.37,40.45
YDR174W,0.67,45.8
YDR175C,0.42,50.33
YDR176W,0.44,42.29
YDR177W,0.48,53.39
YDR178W,0.56,48.9
YDR179C,0.36,59.83
YDR179W-A,0.41,39.1
YDR180W,0.45,44.23
YDR181C,0.45,53.38
YDR182W,0.4,44.51
YDR183W,0.4,33.49
YDR184C,0.43,34.91
YDR185C,0.43,36.08
YDR186C,0.46,44.05
YDR187C,0.39,45.87
YDR188W,0.58,37.17
YDR189W,0.53,36.81
YDR190C,0.55,42.1
YDR191W,0.43,35.49
YDR192C,0.39,37.68
YDR193W,0.38,29.76
YDR194C,0.53,51.49
YDR195W,0.45,40.44
YDR196C,0.44,44.93
YDR197W,0.45,41.33
YDR198C,0.42,44.59
YDR199W,0.37,38.9
YDR200C,0.43,48.5
YDR201W,0.5,47.33
YDR202C,0.48,46.25
YDR203W,0.36,35.1
YDR204W,0.47,49.83
YDR205W,0.41,34.38
YDR206W,0.41,46.66
YDR207C,0.49,55.59
YDR208W,0.46,47.29
YDR209C,0.5,26.77
YDR210W,0.65,100.59
YDR211W,0.52,47.15
YDR212W,0.59,40.27
YDR213W,0.45,54.99
YDR214W,0.53,36.2
YDR215C,0.47,55.33
YDR216W,0.45,40.29
YDR217C,0.42,49.96
YDR218C,0.43,36.98
YDR219C,0.37,46.17
YDR220C,0.42,39.85
YDR221W,0.47,39.83
YDR222W,0.5,31.73
YDR223W,0.36,48.16
YDR224C,0.86,37.17
YDR225W,0.85,53.03
YDR226W,0.78,34.04
YDR227W,0.44,46.72
YDR228C,0.51,45.04
YDR229W,0.4,47.62
YDR230W,0.42,79.38
YDR231C,0.48,47.91
YDR232W,0.6,32.22
YDR233C,0.72,43.29
YDR234W,0.57,39.25
YDR235W,0.43,40.88
YDR236C,0.47,31.09
YDR237W,0.5,41.39
YDR238C,0.57,39.76
YDR239C,0.42,49.22
YDR240C,0.45,54.22
YDR241W,0.39,50.8
YDR242W,0.45,35.57
YDR243C,0.5,37.39
YDR244W,0.42,44.15
YDR245W,0.43,46.18
YDR246W,0.48,40.63
YDR247W,0.48,47.43
YDR248C,0.47,33.38
YDR249C,0.38,53.67
YDR250C,0.38,36.45
YDR251W,0.43,49.02
YDR252W,0.41,30.29
YDR253C,0.41,60.01
YDR254W,0.38,45.14
YDR255C,0.42,44.97
YDR256C,0.49,30.03
YDR257C,0.51,45.9
YDR258C,0.54,32.76
YDR259C,0.42,56.79
YDR260C,0.39,51.99
YDR261C,0.47,31.17
YDR262W,0.42,43.4
YDR263C,0.44,35.51
YDR264C,0.44,29.06
YDR265W,0.48,50.72
YDR266C,0.49,48.72
YDR267C,0.47,29.57
YDR268W,0.44,38.35
YDR269C,0.43,50.33
YDR270W,0.48,30.43
YDR271C,0.45,77.32
YDR272W,0.45,23.66
YDR273W,0.47,47.27
YDR274C,0.38,50.83
YDR275W,0.43,53.81
YDR276C,0.71,49.1
YDR277C,0.41,65.23
YDR278C,0.41,37.86
YDR279W,0.42,31.21
YDR280W,0.48,51.64
YDR281C,0.39,26.38
YDR282C,0.41,42.52
YDR283C,0.44,44.66
YDR284C,0.49,41.04
YDR285W,0.44,49.38
YDR286C,0.44,56.17
YDR287W,0.46,31.82
YDR288W,0.43,42.05
YDR289C,0.42,54.52
YDR290W,0.52,61.98
YDR291W,0.47,42.06
YDR292C,0.46,34.95
YDR293C,0.52,55.35
YDR294C,0.5,40.96
YDR295C,0.43,46.51
YDR296W,0.47,39.09
YDR297W,0.58,39.23
YDR298C,0.58,24.03
YDR299W,0.52,52.79
YDR300C,0.52,26.3
YDR301W,0.47,36.85
YDR302W,0.44,21.23
YDR303C,0.47,49.96
YDR304C,0.63,34.03
YDR305C,0.48,35.56
YDR306C,0.43,43.91
YDR307W,0.46,36.3
YDR308C,0.46,43.01
YDR309C,0.5,64.39
YDR310C,0.46,48.0
YDR311W,0.52,37.45
YDR312W,0.47,50.96
YDR313C,0.42,56.0
YDR314C,0.43,46.93
YDR315C,0.39,33.51
YDR316W,0.46,49.77
YDR317W,0.44,42.17
YDR318W,0.41,38.98
YDR319C,0.42,38.34
YDR320C,0.45,44.53
YDR321W,0.55,41.56
YDR322W,0.48,51.95
YDR323C,0.42,50.04
YDR324C,0.49,34.94
YDR325W,0.45,46.88
YDR326C,0.44,42.89
YDR327W,0.43,32.01
YDR328C,0.58,57.25
YDR329C,0.42,45.01
YDR330W,0.51,46.83
YDR331W,0.45,38.75
YDR332W,0.41,36.52
YDR333C,0.45,52.26
YDR334W,0.46,43.85
YDR335W,0.46,40.17
YDR336W,0.45,38.12
YDR337W,0.47,55.3
YDR338C,0.44,39.47
YDR339C,0.49,22.43
YDR340W,0.38,33.84
YDR341C,0.61,33.0
YDR342C,0.81,36.83
YDR343C,0.81,36.95
YDR344C,0.42,61.28
YDR345C,0.79,34.25
YDR346C,0.59,49.5
YDR347W,0.42,37.04
YDR348C,0.46,57.8
YDR349C,0.45,38.98
YDR350C,0.4,46.04
YDR351W,0.4,51.5
YDR352W,0.42,46.8
YDR353W,0.69,38.62
YDR354W,0.49,34.01
YDR355C,0.34,28.76
YDR356W,0.45,51.23
YDR357C,0.44,23.92
YDR358W,0.45,50.49
YDR359C,0.43,65.4
YDR360W,0.34,41.72
YDR361C,0.51,46.13
YDR362C,0.4,37.8
YDR363W,0.45,53.11
YDR364C,0.42,40.85
YDR365C,0.52,39.42
YDR366C,0.4,45.72
YDR367W,0.5,32.1
YDR368W,0.61,29.93
YDR369C,0.45,51.46
YDR370C,0.41,40.56
YDR371W,0.4,39.19
YDR372C,0.53,44.6
YDR373W,0.45,34.52
YDR374C,0.47,42.37
YDR375C,0.49,35.36
YDR376W,0.48,38.31
YDR377W,0.54,42.82
YDR378C,0.46,36.31
YDR379W,0.4,47.06
YDR380W,0.49,33.45
YDR381W,0.67,44.57
YDR382W,0.89,36.06
YDR383C,0.41,49.93
YDR384C,0.48,38.23
YDR385W,0.91,30.98
YDR386W,0.42,47.86
YDR387C,0.47,44.0
YDR388W,0.56,46.0
YDR389W,0.44,56.15
YDR390C,0.47,46.04
YDR391C,0.5,42.39
YDR392W,0.46,43.63
YDR393W,0.47,45.58
YDR394W,0.59,39.18
YDR395W,0.53,48.46
YDR396W,0.6,55.18
YDR397C,0.48,68.58
YDR398W,0.52,40.69
YDR399W,0.64,30.04
YDR400W,0.46,30.69
YDR401W,0.46,44.66
YDR402C,0.44,33.9
YDR403W,0.48,34.35
YDR404C,0.49,37.05
YDR405W,0.43,45.97
YDR406W,0.53,40.21
YDR407C,0.47,45.12
YDR408C,0.49,47.84
YDR409W,0.41,45.52
YDR410C,0.43,35.27
YDR411C,0.45,30.08
YDR412W,0.49,54.98
YDR413C,0.43,43.08
YDR414C,0.44,47.04
YDR415C,0.47,40.1
YDR416W,0.44,47.7
YDR417C,0.41,27.67
YDR418W,0.9,33.36
YDR419W,0.38,30.61
YDR420W,0.42,59.55
YDR421W,0.42,48.59
YDR422C,0.43,49.8
YDR423C,0.43,51.17
YDR424C,0.5,9.2
YDR425W,0.48,58.12
YDR426C,0.55,27.23
YDR427W,0.51,28.4
YDR428C,0.46,48.71
YDR429C,0.61,51.05
YDR430C,0.46,37.32
YDR431W,0.39,50.69
YDR432W,0.7,65.8
YDR433W,0.45,54.95
YDR434W,0.43,38.93
YDR435C,0.47,57.85
YDR436W,0.41,59.62
YDR437W,0.43,47.99
YDR438W,0.45,31.52
YDR439W,0.38,54.18
YDR440W,0.42,44.45
YDR441C,0.48,40.83
YDR442W,0.39,59.14
YDR443C,0.44,46.78
YDR444W,0.41,40.56
YDR445C,0.39,50.8
YDR446W,0.4,50.32
YDR447C,0.91,47.0
YDR448W,0.42,48.52
YDR449C,0.48,41.4
YDR450W,0.91,36.59
YDR451C,0.47,60.99
YDR452W,0.47,41.39
YDR453C,0.62,21.13
YDR454C,0.65,20.74
YDR455C,0.4,68.24
YDR456W,0.5,41.8
YDR457W,0.47,42.77
YDR458C,0.43,50.8
YDR459C,0.45,50.92
YDR460W,0.48,41.39
YDR461W,0.82,44.84
YDR462W,0.48,63.21
YDR463W,0.48,58.0
YDR464W,0.47,53.99
YDR465C,0.48,42.87
YDR466W,0.4,42.34
YDR467C,0.41,34.23
YDR468C,0.54,46.75
YDR469W,0.38,59.42
YDR470C,0.48,29.87
YDR471W,0.81,21.85
YDR472W,0.48,45.82
YDR473C,0.4,48.09
YDR475C,0.43,63.15
YDR476C,0.49,28.92
YDR477W,0.51,52.16
YDR478W,0.41,41.71
YDR479C,0.42,43.72
YDR480W,0.45,58.91
YDR481C,0.49,33.78
YDR482C,0.37,75.12
YDR483W,0.6,41.41
YDR484W,0.42,44.85
YDR485C,0.44,56.55
YDR486C,0.45,56.03
YDR487C,0.57,28.23
YDR488C,0.42,51.55
YDR489W,0.5,41.0
YDR490C,0.43,41.19
YDR491C,0.39,51.83
YDR492W,0.56,41.02
YDR493W,0.42,42.07
YDR494W,0.43,46.37
YDR495C,0.42,42.94
YDR496C,0.57,41.05
YDR497C,0.59,35.95
YDR498C,0.46,46.8
YDR499W,0.43,42.52
YDR500C,0.91,53.4
YDR501W,0.46,54.95
YDR502C,0.78,35.22
YDR503C,0.43,45.94
YDR504C,0.5,33.76
YDR505C,0.46,43.49
YDR506C,0.48,30.16
YDR507C,0.49,53.26
YDR508C,0.56,37.61
YDR509W,0.5,41.16
YDR510W,0.66,54.38
YDR511W,0.48,52.94
YDR512C,0.36,43.64
YDR513W,0.58,31.89
YDR514C,0.4,36.5
YDR515W,0.47,47.28
YDR516C,0.55,44.62
YDR517W,0.5,50.5
YDR518W,0.53,35.81
YDR519W,0.54,37.51
YDR520C,0.39,38.12
YDR521W,0.45,39.49
YDR522C,0.48,40.86
YDR523C,0.45,44.85
YDR524C,0.43,43.71
YDR525W,0.4,51.46
YDR526C,0.42,46.61
YDR527W,0.47,40.52
YDR528W,0.46,68.35
YDR529C,0.57,53.19
YDR530C,0.47,39.18
YDR531W,0.47,32.13
YDR532C,0.38,38.35
YDR533C,0.55,23.44
YDR534C,0.68,31.54
YDR535C,0.41,50.73
YDR536W,0.55,28.69
YDR537C,0.43,47.43
YDR538W,0.47,33.49
YDR539W,0.48,40.67
YDR540C,0.45,37.35
YDR541C,0.49,37.48
YDR542W,0.89,18.37
YDR543C,0.4,58.01
YDR544C,0.61,54.77
YDR545W,0.45,39.2
YEL059C-A,0.42,21.34
YEL076C-A,0.46,48.43
YEL075W-A,0.45,58.23
YER007C-A,0.56,33.54
YER060W-A,0.53,30.1
YER066C-A,0.52,49.82
YER093C-A,0.52,56.74
YER119C-A,0.42,50.71
YFL002W-A,0.47,45.28
YFL012W-A,0.35,33.37
YFL017W-A,0.45,33.55
YFR024C-A,0.55,44.41
YGL001C,0.53,33.2
YGL002W,0.51,35.18
YGL003C,0.43,47.49
YGL004C,0.45,25.15
YGL005C,0.38,35.69
YGL006W,0.48,35.75
YGL007W,0.34,68.68
YGL008C,0.88,33.73
YGL009C,0.66,32.73
YGL010W,0.44,47.47
YGL011C,0.54,38.29
YGL012W,0.6,35.69
YGL013C,0.45,47.39
YGL014W,0.46,50.82
YGL015C,0.42,49.77
YGL016W,0.51,42.25
YGL017W,0.45,43.43
YGL018C,0.57,49.72
YGL019W,0.46,57.71
YGL020C,0.47,37.39
YGL021W,0.44,46.82
YGL022W,0.61,31.48
YGL023C,0.42,46.81
YGL024W,0.49,45.06
YGL025C,0.46,39.72
YGL026C,0.66,30.39
YGL027C,0.47,40.88
YGL028C,0.64,43.2
YGL029W,0.6,48.21
YGL030W,0.95,26.5
YGL031C,0.91,36.79
YGL032C,0.4,28.0
YGL033W,0.42,61.9
YGL034C,0.42,43.27
YGL035C,0.51,57.82
YGL036W,0.46,36.64
YGL037C,0.64,26.99
YGL038C,0.45,44.78
YGL039W,0.52,28.69
YGL040C,0.55,42.26
YGL041C,0.52,47.18
YGL042C,0.51,47.4
YGL043W,0.53,49.65
YGL044C,0.39,41.04
YGL045W,0.46,51.14
YGL047W,0.48,33.77
YGL048C,0.59,39.59
YGL049C,0.51,49.92
YGL050W,0.46,37.98
YGL051W,0.43,45.7
YGL052W,0.52,39.41
YGL053W,0.47,31.94
YGL054C,0.61,26.73
YGL055W,0.8,32.21
YGL056C,0.46,53.41
YGL057C,0.4,41.95
YGL058W,0.52,54.72
YGL059W,0.46,45.47
YGL060W,0.48,50.4
YGL061C,0.43,48.86
YGL062W,0.63,33.66
YGL063W,0.39,44.74
YGL064C,0.47,39.44
YGL065C,0.49,27.63
YGL066W,0.46,46.78
YGL067W,0.47,40.4
YGL068W,0.59,38.76
YGL069C,0.48,52.69
YGL070C,0.48,59.33
YGL071W,0.45,45.5
YGL072C,0.4,21.43
YGL073W,0.42,45.29
YGL074C,0.37,28.04
YGL075C,0.43,46.5
YGL076C,0.93,34.03
YGL077C,0.58,37.65
YGL078C,0.61,26.87
YGL079W,0.45,55.42
YGL080W,0.44,28.75
YGL081W,0.47,51.36
YGL082W,0.47,36.16
YGL083W,0.47,46.41
YGL084C,0.51,35.85
YGL085W,0.45,25.05
YGL086W,0.42,42.45
YGL087C,0.56,36.49
YGL088W,0.36,47.28
YGL089C,0.66,41.54
YGL090W,0.44,49.31
YGL091C,0.44,39.53
YGL092W,0.45,39.17
YGL093W,0.42,44.94
YGL094C,0.45,38.52
YGL095C,0.45,40.34
YGL096W,0.43,56.46
YGL097W,0.54,32.98
YGL098W,0.46,51.5
YGL099W,0.53,36.7
YGL100W,0.44,54.01
YGL101W,0.52,32.76
YGL102C,0.54,39.47
YGL103W,0.88,20.88
YGL104C,0.47,34.31
YGL105W,0.71,32.11
YGL106W,0.64,29.38
YGL107C,0.48,38.86
YGL108C,0.43,35.78
YGL109W,0.41,87.36
YGL110C,0.43,44.94
YGL111W,0.43,34.49
YGL112C,0.47,36.64
YGL113W,0.42,51.68
YGL114W,0.44,44.9
YGL115W,0.5,32.15
YGL116W,0.47,49.19
YGL117W,0.45,30.22
YGL118C,0.38,65.98
YGL119W,0.44,35.92
YGL120C,0.56,44.6
YGL121C,0.51,66.04
YGL122C,0.53,60.13
YGL123W,0.95,36.69
YGL124C,0.41,36.0
YGL125W,0.61,40.13
YGL126W,0.44,40.72
YGL127C,0.45,41.38
YGL128C,0.48,46.75
YGL129C,0.47,28.8
YGL130W,0.42,40.47
YGL131C,0.42,42.44
YGL132W,0.37,25.39
YGL133W,0.46,45.43
YGL134W,0.4,43.62
YGL135W,0.93,31.25
YGL136C,0.46,39.76
YGL137W,0.55,27.71
YGL138C,0.41,38.25
YGL139W,0.47,38.64
YGL140C,0.45,40.24
YGL141W,0.45,36.59
YGL142C,0.4,45.6
YGL143C,0.48,41.76
YGL144C,0.45,40.43
YGL145W,0.47,32.78
YGL146C,0.39,43.74
YGL147C,0.9,30.76
YGL148W,0.71,34.25
YGL149W,0.4,47.45
YGL150C,0.53,45.45
YGL151W,0.45,36.3
YGL152C,0.41,50.49
YGL153W,0.46,38.51
YGL154C,0.45,27.23
YGL155W,0.39,36.22
YGL156W,0.49,34.5
YGL157W,0.54,25.42
YGL158W,0.46,46.65
YGL159W,0.49,43.37
YGL160W,0.46,43.66
YGL161C,0.46,39.82
YGL162W,0.47,50.04
YGL163C,0.5,40.02
YGL164C,0.44,44.3
YGL165C,0.35,53.66
YGL166W,0.48,51.57
YGL167C,0.54,40.23
YGL168W,0.29,39.14
YGL169W,0.41,37.13
YGL170C,0.44,51.26
YGL171W,0.51,44.71
YGL172W,0.4,31.31
YGL173C,0.51,42.62
YGL174W,0.4,41.67
YGL175C,0.44,57.68
YGL176C,0.43,41.99
YGL177W,0.39,34.41
YGL178W,0.49,40.43
YGL179C,0.41,52.05
YGL180W,0.45,44.59
YGL181W,0.42,55.14
YGL182C,0.42,48.94
YGL183C,0.41,52.91
YGL184C,0.46,31.75
YGL185C,0.45,37.73
YGL186C,0.46,32.54
YGL187C,0.61,35.68
YGL188C,0.51,54.79
YGL189C,0.92,55.17
YGL190C,0.41,42.95
YGL191W,0.51,35.72
YGL192W,0.44,37.93
YGL193C,0.39,60.44
YGL194C,0.41,37.01
YGL195W,0.54,40.13
YGL196W,0.45,36.58
YGL197W,0.44,57.97
YGL198W,0.41,49.39
YGL199C,0.41,40.2
YGL200C,0.62,30.08
YGL201C,0.51,47.87
YGL202W,0.6,36.59
YGL203C,0.44,43.97
YGL204C,0.36,39.6
YGL205W,0.49,28.05
YGL206C,0.6,40.24
YGL207W,0.53,47.73
YGL208W,0.43,49.58
YGL209W,0.48,68.39
YGL210W,0.5,21.69
YGL211W,0.46,47.32
YGL212W,0.47,48.7
YGL213C,0.45,34.78
YGL214W,0.39,50.74
YGL215W,0.48,55.0
YGL216W,0.46,54.48
YGL217C,0.4,52.94
YGL218W,0.49,36.97
YGL219C,0.45,57.03
YGL220W,0.43,62.59
YGL221C,0.57,23.71
YGL222C,0.46,43.8
YGL223C,0.47,36.77
YGL224C,0.46,34.32
YGL225W,0.69,26.52
YGL226C-A,0.59,21.46
YGL226W,0.37,53.17
YGL227W,0.48,39.74
YGL228W,0.53,39.54
YGL229C,0.47,37.71
YGL230C,0.44,23.19
YGL231C,0.48,49.76
YGL232W,0.48,36.21
YGL233W,0.45,40.18
YGL234W,0.63,33.66
YGL235W,0.52,47.69
YGL236C,0.49,42.95
YGL237C,0.44,67.24
YGL238W,0.51,40.64
YGL239C,0.32,46.51
YGL240W,0.39,42.79
YGL241W,0.45,35.5
YGL242C,0.5,33.14
YGL243W,0.41,49.5
YGL244W,0.51,47.1
YGL245W,0.73,31.35
YGL246C,0.46,36.48
YGL247W,0.4,30.61
YGL248W,0.47,43.58
YGL249W,0.44,43.17
YGL250W,0.48,36.28
YGL251C,0.41,43.76
YGL252C,0.48,39.72
YGL253W,0.84,39.52
YGL254W,0.44,44.91
YGL255W,0.61,23.37
YGL256W,0.8,35.32
YGL257C,0.4,38.04
YGL258W,0.69,27.58
YGL259W,0.44,35.0
YGL260W,0.35,50.15
YGL261C,0.86,19.78
YGL262W,0.35,22.94
YGL263W,0.44,35.66
YGR001C,0.57,38.05
YGR002C,0.44,54.82
YGR003W,0.43,48.33
YGR004W,0.41,52.0
YGR005C,0.53,45.44
YGR006W,0.47,50.89
YGR007W,0.45,27.87
YGR008C,0.67,31.81
YGR009C,0.44,52.08
YGR010W,0.47,55.73
YGR011W,0.38,58.86
YGR012W,0.52,30.25
YGR013W,0.46,48.28
YGR014W,0.47,60.9
YGR015C,0.39,42.56
YGR016W,0.45,53.53
YGR017W,0.51,44.81
YGR018C,0.51,65.0
YGR019W,0.63,33.32
YGR020C,0.68,41.24
YGR021W,0.45,36.61
YGR022C,0.45,35.36
YGR023W,0.43,71.04
YGR024C,0.44,36.04
YGR025W,0.43,37.5
YGR026W,0.55,43.03
YGR027C,0.9,26.94
YGR028W,0.43,40.87
YGR029W,0.46,43.46
YGR030C,0.49,44.46
YGR031W,0.43,38.25
YGR032W,0.55,38.48
YGR033C,0.42,30.93
YGR034W,0.91,29.24
