ORF,gravy score,aliphatic index
YBL112C,-0.14,100.9
YBL113C,-0.63,56.75
YBR012W-A,-0.81,55.25
YBR012W-B,-0.63,73.77
YBR084C-A,-0.95,73.71
YBR089C-A,-1.39,37.99
YBR162W-A,-0.29,97.24
YDL001W,-0.56,83.7
YDL002C,-1.2,68.12
YDL003W,-0.65,74.64
YDL004W,0.04,95.92
YDL005C,-1.26,52.45
YDL006W,-0.23,85.36
YDL007W,-0.49,87.55
YDL008W,-0.51,68.58
YDL009C,0.48,93.08
YDL010W,-0.41,87.43
YDL011C,0.86,124.11
YDL012C,-1.14,32.41
YDL013W,-0.9,65.05
YDL014W,-0.41,71.17
YDL015C,0.04,83.35
YDL016C,-0.07,81.13
YDL017W,-0.46,77.19
YDL018C,-0.52,70.98
YDL019C,-0.75,73.45
YDL020C,-0.91,59.75
YDL021W,-0.7,79.6
YDL022W,-0.07,89.55
YDL023C,0.62,105.47
YDL024C,-0.36,71.83
YDL025C,-0.71,69.06
YDL026W,0.61,121.5
YDL027C,-0.15,82.1
YDL028C,-0.72,73.05
YDL029W,-0.25,84.17
YDL030W,-0.84,69.53
YDL031W,-0.75,71.83
YDL032W,0.57,133.36
YDL033C,-0.5,74.26
YDL034W,0.32,96.06
YDL035C,-0.58,73.4
YDL036C,-0.75,72.27
YDL037C,-0.54,41.94
YDL039C,-0.07,74.55
YDL040C,-0.58,77.77
YDL041W,1.03,114.21
YDL042C,-0.3,85.64
YDL043C,-0.68,73.72
YDL044C,-0.6,85.02
YDL045C,-0.35,77.34
YDL046W,0.02,105.95
YDL047W,-0.2,78.9
YDL048C,-0.72,60.14
YDL049C,-0.13,73.43
YDL050C,0.06,80.15
YDL051W,-1.02,57.99
YDL052C,0.0,93.05
YDL053C,-0.92,46.75
YDL054C,0.54,114.08
YDL055C,0.0,102.97
YDL056W,-0.69,74.07
YDL057W,-0.27,83.71
YDL058W,-0.81,83.41
YDL059C,-0.57,74.14
YDL060W,-0.63,73.47
YDL061C,-0.9,41.12
YDL062W,0.22,100.11
YDL063C,-0.13,104.77
YDL064W,-0.79,61.14
YDL065C,-1.12,63.38
YDL066W,-0.37,82.56
YDL067C,-0.25,73.47
YDL068W,1.06,119.99
YDL069C,-0.26,100.07
YDL070W,-0.84,70.81
YDL071C,0.58,100.34
YDL072C,0.22,112.12
YDL073W,-0.35,86.64
YDL074C,-0.81,79.84
YDL075W,-0.52,85.38
YDL076C,-0.79,68.68
YDL077C,-0.44,85.76
YDL078C,-0.02,102.28
YDL079C,-0.48,82.8
YDL080C,-0.12,87.26
YDL081C,-0.02,91.09
YDL082W,-0.73,68.94
YDL083C,-0.34,83.6
YDL084W,-0.41,83.52
YDL085W,-0.18,86.16
YDL086W,-0.22,81.12
YDL087C,-0.64,74.52
YDL088C,-0.93,57.88
YDL089W,-0.51,74.44
YDL090C,-0.26,82.75
YDL091C,-0.7,80.13
YDL092W,-0.83,59.02
YDL093W,0.16,89.29
YDL094C,0.07,86.87
YDL095W,0.0,83.7
YDL096C,0.17,76.84
YDL097C,-0.38,87.32
YDL098C,-0.8,66.17
YDL099W,-1.29,53.8
YDL100C,-0.3,83.38
YDL101C,-0.54,82.49
YDL102W,-0.33,83.5
YDL103C,-0.46,80.71
YDL104C,-0.15,93.42
YDL105W,-0.84,67.14
YDL106C,-0.97,62.79
YDL107W,-0.45,78.02
YDL108W,-0.2,84.44
YDL109C,-0.28,85.61
YDL110C,-0.77,77.61
YDL111C,0.08,108.41
YDL112W,-0.11,97.52
YDL113C,-0.81,73.18
YDL114W,-0.08,96.49
YDL115C,-1.08,65.77
YDL116W,-0.22,100.79
YDL117W,-0.54,72.76
YDL118W,0.44,94.88
YDL119C,-0.03,88.55
YDL120W,-0.36,85.82
YDL121C,-0.62,80.86
YDL122W,-0.78,71.98
YDL123W,-0.02,79.14
YDL124W,-0.38,84.53
YDL125C,-0.19,92.83
YDL126C,-0.37,83.86
YDL127W,-0.47,86.16
YDL128W,0.71,123.37
YDL129W,-0.95,68.82
YDL130W,0.05,84.82
YDL131W,-0.23,89.41
YDL132W,-0.41,83.69
YDL133W,-0.42,82.78
YDL134C,-0.45,72.29
YDL133C-A,-2.45,25.96
YDL135C,-0.64,79.24
YDL136W,-0.79,80.15
YDL137W,-0.27,86.02
YDL138W,0.07,93.23
YDL139C,-1.19,69.09
YDL140C,-0.4,76.48
YDL141W,-0.17,83.39
YDL142C,0.14,101.97
YDL143W,-0.09,105.19
YDL144C,-0.1,98.08
YDL145C,-0.29,85.73
YDL146W,-0.21,92.79
YDL147W,-0.45,99.59
YDL148C,-0.93,70.41
YDL149W,-0.55,75.11
YDL150W,-0.94,65.31
YDL151C,0.39,104.31
YDL152W,0.24,83.11
YDL153C,-1.3,54.06
YDL154W,-0.19,96.01
YDL155W,-0.52,82.08
YDL156W,-0.65,74.33
YDL157C,-0.62,54.36
YDL158C,0.73,121.1
YDL159W,-0.45,91.07
YDL160C,-0.38,81.76
YDL161W,-1.1,59.28
YDL162C,-0.2,65.58
YDL163W,0.27,95.08
YDL164C,-0.42,80.67
YDL165W,-0.41,71.04
YDL166C,-0.75,72.0
YDL167C,-0.71,63.48
YDL168W,-0.05,81.69
YDL169C,-1.06,52.99
YDL170W,-0.21,97.26
YDL171C,-0.29,86.38
YDL172C,0.87,116.41
YDL173W,-0.96,58.84
YDL174C,-0.38,79.76
YDL175C,-1.18,43.58
YDL176W,-0.34,75.87
YDL177C,-0.61,75.03
YDL178W,-0.3,86.5
YDL179W,-0.37,86.02
YDL180W,-0.02,90.7
YDL181W,-1.11,57.01
YDL182W,-0.18,90.81
YDL183C,-0.41,94.92
YDL184C,-2.45,25.96
YDL185W,-0.29,79.99
YDL186W,-0.94,50.99
YDL187C,0.09,78.69
YDL188C,-0.57,67.43
YDL189W,-1.11,47.19
YDL190C,-0.25,87.03
YDL191W,-0.79,80.15
YDL192W,-0.22,85.1
YDL193W,-0.35,90.73
YDL194W,-0.12,83.04
YDL195W,-0.51,72.22
YDL196W,-0.05,66.76
YDL197C,-0.76,82.23
YDL198C,-0.13,87.87
YDL199C,0.08,98.27
YDL200C,-0.33,85.4
YDL201W,-0.69,68.28
YDL202W,-0.54,77.91
YDL203C,-0.54,68.31
YDL204W,-0.62,75.8
YDL205C,-0.28,93.45
YDL206W,0.26,112.83
YDL207W,-0.63,80.86
YDL208W,-0.57,78.48
YDL209C,-0.66,69.67
YDL210W,0.47,102.81
YDL211C,-0.31,76.61
YDL212W,0.07,91.66
YDL213C,-1.23,62.3
YDL214C,-0.47,75.68
YDL215C,-0.3,88.86
YDL216C,-0.71,69.87
YDL217C,-0.08,65.36
YDL218W,-0.18,72.4
YDL219W,-0.18,98.28
YDL220C,-0.39,80.23
YDL221W,0.13,73.12
YDL222C,0.07,75.47
YDL223C,-1.27,35.16
YDL224C,-0.57,69.39
YDL225W,-0.74,73.88
YDL226C,-0.92,47.75
YDL227C,-0.47,73.79
YDL228C,-0.23,74.7
YDL229W,-0.24,85.63
YDL230W,-0.53,71.53
YDL231C,-0.16,85.94
YDL232W,0.66,113.87
YDL233W,-0.39,68.12
YDL234C,-0.48,79.74
YDL235C,-0.35,99.61
YDL236W,-0.18,85.79
YDL237W,-0.21,90.62
YDL238C,-0.34,80.03
YDL239C,-0.83,79.18
YDL240W,-0.36,81.58
YDL241W,-0.18,61.18
YDL242W,-0.23,100.54
YDL243C,-0.36,75.81
YDL244W,-0.31,80.01
YDL245C,0.36,92.03
YDL246C,-0.01,83.6
YDL247W,0.13,88.38
YDL248W,-0.02,85.88
YDR001C,-0.54,68.35
YDR002W,-0.99,49.76
YDR003W,-0.74,60.64
YDR004W,-0.36,87.4
YDR005C,-0.86,60.91
YDR006C,-0.56,79.45
YDR007W,-0.08,96.77
YDR008C,0.03,73.49
YDR009W,-0.24,76.22
YDR010C,-0.12,73.1
YDR011W,-0.09,79.33
YDR012W,-0.3,81.9
YDR013W,-0.45,91.98
YDR014W,-0.56,83.08
YDR015C,0.39,101.92
YDR016C,-0.46,90.04
YDR017C,-0.87,64.57
YDR018C,-0.06,89.83
YDR019C,-0.29,84.93
YDR020C,-0.45,94.21
YDR021W,-0.25,90.68
YDR022C,-0.67,84.18
YDR023W,-0.65,73.78
YDR024W,-0.36,67.82
YDR025W,-0.46,68.73
YDR026C,-1.0,63.03
YDR027C,-0.45,86.75
YDR028C,-1.11,54.58
YDR029W,0.47,113.32
YDR030C,-0.68,69.63
YDR031W,-0.52,82.39
YDR032C,-0.03,77.24
YDR033W,0.25,82.02
YDR034C,-0.54,77.88
YDR035W,-0.47,83.25
YDR036C,-0.32,75.82
YDR037W,-0.6,69.79
YDR038C,-0.06,88.27
YDR039C,-0.06,88.25
YDR040C,-0.05,88.06
YDR041W,-0.48,83.41
YDR042C,-0.22,87.91
YDR043C,-1.03,53.35
YDR044W,-0.67,62.0
YDR045C,-0.5,55.53
YDR046C,0.23,88.97
YDR047W,-0.18,81.98
YDR048C,0.05,89.17
YDR049W,-0.86,70.86
YDR050C,-0.11,90.53
YDR051C,-0.74,65.96
YDR052C,-0.87,66.11
YDR053W,1.01,115.59
YDR054C,-0.96,59.47
YDR055W,0.07,97.77
YDR056C,-0.33,82.7
YDR057W,-0.38,85.12
YDR058C,-0.32,81.53
YDR059C,-0.29,78.18
YDR060W,-0.81,71.99
YDR061W,-0.3,88.03
YDR062W,-0.17,86.8
YDR063W,-0.5,82.96
YDR064W,-0.29,93.03
YDR065W,-0.56,83.08
YDR066C,-0.15,87.13
YDR067C,-0.28,87.31
YDR068W,-1.23,57.57
YDR069C,-0.43,82.29
YDR070C,-1.34,49.25
YDR071C,-0.26,101.95
YDR072C,0.15,86.21
YDR073W,-0.38,99.55
YDR074W,-0.52,77.19
YDR075W,-0.2,85.84
YDR076W,-0.36,86.13
YDR077W,-0.31,54.12
YDR078C,-0.09,95.04
YDR079W,-0.6,77.21
YDR080W,-0.38,88.3
YDR081C,-0.59,75.25
YDR082W,-0.35,86.62
YDR083W,-0.88,65.49
YDR084C,0.18,87.83
YDR085C,-0.95,60.39
YDR086C,0.01,103.52
YDR087C,-0.8,74.12
YDR088C,-1.42,53.45
YDR089W,-0.28,94.84
YDR090C,0.41,101.32
YDR091C,-0.2,93.42
YDR092W,-0.53,87.16
YDR093W,-0.32,82.04
YDR094W,-0.33,67.42
YDR095C,-0.45,70.71
YDR096W,-0.74,64.72
YDR097C,-0.54,71.96
YDR098C,-0.47,77.47
YDR099W,-0.79,69.47
YDR100W,0.86,120.85
YDR101C,-0.23,93.18
YDR102C,0.26,104.92
YDR103W,-0.42,83.71
YDR104C,-0.65,74.53
YDR105C,0.38,95.11
YDR106W,-0.11,96.18
YDR107C,0.3,96.55
YDR108W,-0.35,81.04
YDR109C,-0.29,78.53
YDR110W,-0.76,68.23
YDR111C,-0.3,85.6
YDR112W,0.82,92.59
YDR113C,-1.07,71.49
YDR114C,0.66,95.39
YDR115W,-0.51,66.99
YDR116C,-0.23,86.86
YDR117C,-0.42,82.51
YDR118W,-0.25,94.11
YDR119W,0.19,98.05
YDR120C,-0.54,72.96
YDR121W,-0.88,76.01
YDR122W,-0.7,66.97
YDR123C,-0.74,72.34
YDR124W,-0.43,85.32
YDR125C,-0.4,78.59
YDR126W,0.18,97.43
YDR127W,-0.12,89.8
YDR128W,-0.59,68.68
YDR129C,-0.28,96.12
YDR130C,-0.87,76.4
YDR131C,-0.27,85.14
YDR132C,-0.44,81.3
YDR133C,0.32,124.67
YDR134C,,
YDR135C,0.06,100.17
YDR136C,0.07,92.09
YDR137W,-0.46,80.94
YDR138W,-0.72,70.77
YDR139C,-0.2,115.37
YDR140W,-0.1,96.04
YDR141C,-0.07,104.87
YDR142C,-0.28,76.18
YDR143C,-1.03,50.71
YDR144C,-0.16,75.51
YDR145W,-1.11,58.81
YDR146C,-0.91,63.49
YDR147W,-0.49,78.69
YDR148C,-0.38,77.02
YDR149C,0.53,99.33
YDR150W,-0.71,78.61
YDR151C,-0.81,65.8
YDR152W,-0.89,71.75
YDR153C,-1.01,66.64
YDR154C,-0.04,82.5
YDR155C,-0.24,66.95
YDR156W,-0.38,75.1
YDR157W,0.09,69.52
YDR158W,-0.04,98.84
YDR159W,-0.65,75.59
YDR160W,-0.04,84.66
YDR161W,-0.27,94.51
YDR162C,-0.84,66.31
YDR163W,-1.28,50.14
YDR164C,-0.43,87.09
YDR165W,-0.44,81.62
YDR166C,-0.41,89.31
YDR167W,-0.75,66.15
YDR168W,-0.75,75.63
YDR169C,-0.81,64.92
YDR170C,-0.42,82.34
YDR171W,-1.13,55.13
YDR172W,-0.8,61.4
YDR173C,-0.64,78.29
YDR174W,-0.93,67.35
YDR175C,-0.88,68.05
YDR176W,-1.01,67.8
YDR177W,-0.46,83.49
YDR178W,-0.04,74.96
YDR179C,-0.58,86.66
YDR179W-A,-0.17,91.0
YDR180W,-0.13,102.98
YDR181C,-0.85,71.8
YDR182W,-0.47,69.82
YDR183W,-0.74,75.54
YDR184C,-0.79,78.87
YDR185C,-0.5,67.9
YDR186C,-0.82,67.7
YDR187C,0.49,101.85
YDR188W,-0.17,97.57
YDR189W,-0.33,91.6
YDR190C,-0.12,102.45
YDR191W,-0.37,83.65
YDR192C,-0.41,39.47
YDR193W,0.99,148.62
YDR194C,-0.6,79.39
YDR195W,-0.71,78.67
YDR196C,-0.19,95.42
YDR197W,-0.29,94.09
YDR198C,-0.26,92.76
YDR199W,0.89,112.1
YDR200C,-0.72,77.18
YDR201W,-0.74,84.74
YDR202C,-0.2,90.86
YDR203W,0.64,122.74
YDR204W,-0.35,89.24
YDR205W,0.34,111.62
YDR206W,-0.37,75.01
YDR207C,-1.06,49.2
YDR208W,-0.8,68.35
YDR209C,0.38,118.92
YDR210W,-1.0,40.97
YDR211W,-0.4,84.42
YDR212W,-0.04,103.36
YDR213W,-0.53,74.56
YDR214W,-0.5,71.08
YDR215C,-0.3,70.09
YDR216W,-0.5,76.45
YDR217C,-0.74,74.19
YDR218C,-0.66,83.84
YDR219C,-0.73,75.31
YDR220C,0.19,89.03
YDR221W,-0.56,77.83
YDR222W,-0.38,75.23
YDR223W,-0.82,65.07
YDR224C,-0.7,62.35
YDR225W,-0.32,97.6
YDR226W,-0.43,83.81
YDR227W,-0.88,67.94
YDR228C,-0.71,78.03
YDR229W,-0.87,67.42
YDR230W,-0.02,68.5
YDR231C,-0.83,57.3
YDR232W,-0.19,84.71
YDR233C,-0.16,82.75
YDR234W,-0.21,88.99
YDR235W,-0.31,86.99
YDR236C,-0.06,92.98
YDR237W,-0.52,75.81
YDR238C,-0.11,101.39
YDR239C,-0.91,63.05
YDR240C,-0.56,74.09
YDR241W,0.1,101.47
YDR242W,-0.2,87.5
YDR243C,-0.48,84.7
YDR244W,-0.72,68.06
YDR245W,-0.61,67.91
YDR246W,-0.48,73.32
YDR247W,-0.39,79.58
YDR248C,-0.4,80.78
YDR249C,-0.2,88.88
YDR250C,-0.21,65.44
YDR251W,-0.62,74.49
YDR252W,-0.71,78.25
YDR253C,-0.97,70.69
YDR254W,-0.31,89.08
YDR255C,-0.51,78.04
YDR256C,-0.63,60.66
YDR257C,-0.41,88.59
YDR258C,-0.41,94.71
YDR259C,-1.07,64.01
YDR260C,-1.0,50.23
YDR261C,-0.3,79.18
YDR262W,-0.35,88.98
YDR263C,-0.23,87.96
YDR264C,-0.01,91.34
YDR265W,-0.22,83.35
YDR266C,-0.84,59.74
YDR267C,-0.27,80.83
YDR268W,-0.38,82.67
YDR269C,0.81,123.8
YDR270W,0.21,100.57
YDR271C,0.17,96.38
YDR272W,-0.66,67.64
YDR273W,-0.76,73.68
YDR274C,0.13,74.54
YDR275W,-0.04,98.43
YDR276C,1.32,153.98
YDR277C,-0.67,71.6
YDR278C,0.22,88.49
YDR279W,-0.49,76.16
YDR280W,-0.12,90.21
YDR281C,0.13,103.48
YDR282C,-0.41,86.73
YDR283C,-0.48,81.52
YDR284C,0.16,97.53
YDR285W,-1.04,70.85
YDR286C,-0.42,78.96
YDR287W,-0.13,79.22
YDR288W,-0.32,96.85
YDR289C,-0.95,67.96
YDR290W,0.45,94.9
YDR291W,-0.34,81.39
YDR292C,-0.48,78.46
YDR293C,-0.7,72.82
YDR294C,-0.11,87.04
YDR295C,-0.71,82.34
YDR296W,-0.8,66.73
YDR297W,-0.11,76.44
YDR298C,-0.09,102.69
YDR299W,-1.03,70.47
YDR300C,-0.22,97.5
YDR301W,-0.27,89.77
YDR302W,0.44,103.78
YDR303C,-0.34,91.18
YDR304C,-0.28,75.29
YDR305C,-0.55,82.29
YDR306C,-0.3,85.05
YDR307W,0.07,91.45
YDR308C,-0.51,92.5
YDR309C,-0.93,58.27
YDR310C,-0.81,68.94
YDR311W,-0.65,79.16
YDR312W,-0.89,72.13
YDR313C,-0.7,53.56
YDR314C,-0.65,79.55
YDR315C,-0.29,95.11
YDR316W,-0.81,71.46
YDR317W,-0.3,82.8
YDR318W,-0.44,90.55
YDR319C,0.63,108.86
YDR320C,-0.71,72.15
YDR321W,-0.07,93.04
YDR322W,-0.55,79.9
YDR323C,-0.53,86.9
YDR324C,-0.4,84.5
YDR325W,-0.31,95.03
YDR326C,-0.7,70.22
YDR327W,-0.04,92.7
YDR328C,-0.95,68.03
YDR329C,-0.35,86.4
YDR330W,-0.72,72.51
YDR331W,-0.25,82.89
YDR332W,-0.31,88.0
YDR333C,-0.58,77.15
YDR334W,-0.75,73.5
YDR335W,-0.18,94.12
YDR336W,-0.35,86.01
YDR337W,-0.61,78.66
YDR338C,0.16,97.87
YDR339C,-0.37,88.93
YDR340W,0.38,114.83
YDR341C,-0.32,84.45
YDR342C,0.36,91.74
YDR343C,0.37,91.9
YDR344C,-0.37,56.03
YDR345C,0.32,81.61
YDR346C,-0.64,65.44
YDR347W,-0.56,73.18
YDR348C,-1.13,47.7
YDR349C,-0.02,86.16
YDR350C,-0.24,87.42
YDR351W,-0.62,74.23
YDR352W,0.05,95.41
YDR353W,-0.16,81.05
YDR354W,-0.05,97.41
YDR355C,0.93,112.2
YDR356W,-1.22,75.25
YDR357C,-0.67,80.29
YDR358W,-0.57,86.83
YDR359C,-0.87,71.86
YDR360W,0.15,99.02
YDR361C,-0.69,72.59
YDR362C,-0.32,80.87
YDR363W,-0.92,66.54
YDR364C,-0.84,61.16
YDR365C,-1.3,49.37
YDR366C,0.9,141.81
YDR367W,0.32,105.56
YDR368W,-0.19,92.92
YDR369C,-0.66,72.33
YDR370C,-0.41,80.93
YDR371W,-0.48,73.08
YDR372C,-0.33,94.88
YDR373W,-0.38,70.89
YDR374C,-0.82,66.88
YDR375C,-0.33,80.28
YDR376W,-0.46,79.87
YDR377W,-0.29,71.53
YDR378C,-0.15,87.13
YDR379W,-0.76,73.39
YDR380W,-0.22,85.09
YDR381W,-0.95,64.72
YDR382W,-0.13,82.44
YDR383C,-0.53,95.91
YDR384C,0.37,91.21
YDR385W,-0.18,86.45
YDR386W,-0.57,79.37
YDR387C,0.49,107.79
YDR388W,-0.48,64.74
YDR389W,-0.86,67.28
YDR390C,-0.34,90.04
YDR391C,-0.4,71.17
YDR392W,-0.82,69.2
YDR393W,-0.75,75.19
YDR394W,-0.29,94.88
YDR395W,0.01,101.65
YDR396W,0.47,107.29
YDR397C,-0.52,82.73
YDR398W,-0.42,86.62
YDR399W,-0.42,82.97
YDR400W,-0.16,84.09
YDR401W,0.31,95.63
YDR402C,-0.09,91.48
YDR403W,-0.37,76.84
YDR404C,-0.01,88.52
YDR405W,-0.69,71.77
YDR406W,-0.17,75.53
YDR407C,-0.18,92.51
YDR408C,-0.11,100.89
YDR409W,-0.78,69.76
YDR410C,0.33,101.88
YDR411C,-0.04,78.27
YDR412W,-1.41,57.22
YDR413C,0.81,100.65
YDR414C,0.33,109.13
YDR415C,-0.31,77.27
YDR416W,-0.37,84.56
YDR417C,0.56,93.96
YDR418W,-0.34,91.7
YDR419W,-0.4,81.02
YDR420W,-0.26,70.49
YDR421W,-0.54,78.73
YDR422C,-0.77,66.57
YDR423C,-0.66,77.44
YDR424C,-0.28,84.6
YDR425W,-0.41,89.0
YDR426C,0.69,113.79
YDR427W,-0.3,94.8
YDR428C,-0.21,90.82
YDR429C,-0.68,68.83
YDR430C,-0.43,80.2
YDR431W,0.12,84.14
YDR432W,-1.1,38.99
YDR433W,0.6,113.91
YDR434W,-0.09,93.72
YDR435C,-0.2,91.7
YDR436W,-0.72,62.66
YDR437W,0.23,101.72
YDR438W,0.73,115.81
YDR439W,-1.02,76.13
YDR440W,-0.61,75.82
YDR441C,0.21,101.02
YDR442W,0.22,89.36
YDR443C,-0.46,81.51
YDR444W,-0.5,80.17
YDR445C,0.39,85.06
YDR446W,-0.91,71.72
YDR447C,-0.79,82.24
YDR448W,-0.74,67.64
YDR449C,-0.63,81.92
YDR450W,-0.7,84.49
YDR451C,-0.78,62.36
YDR452W,-0.62,71.09
YDR453C,-0.1,90.78
YDR454C,-0.39,72.46
YDR455C,-0.02,78.69
YDR456W,0.38,108.86
YDR457W,-0.3,89.34
YDR458C,-0.85,72.13
YDR459C,0.07,92.92
YDR460W,-0.81,69.42
YDR461W,-0.4,57.4
YDR462W,-0.75,70.8
YDR463W,-0.71,62.32
YDR464W,-1.08,64.54
YDR465C,-0.46,76.74
YDR466W,-0.62,73.88
YDR467C,1.01,129.78
YDR468C,-0.71,85.05
YDR469W,-0.93,68.0
YDR470C,-0.25,86.77
YDR471W,-0.56,65.4
YDR472W,-0.35,74.08
YDR473C,-1.18,60.16
YDR475C,-0.86,63.54
YDR476C,0.27,114.98
YDR477W,-0.57,77.32
YDR478W,-0.85,59.0
YDR479C,-0.33,84.73
YDR480W,-0.98,60.34
YDR481C,-0.4,78.47
YDR482C,-1.44,53.33
YDR483W,-0.57,62.31
YDR484W,-0.51,81.56
YDR485C,-1.12,60.84
YDR486C,-0.89,77.5
YDR487C,-0.23,79.96
YDR488C,-0.41,82.25
YDR489W,-0.43,91.82
YDR490C,-0.54,73.51
YDR491C,0.14,103.69
YDR492W,0.4,88.58
YDR493W,-0.79,69.16
YDR494W,-0.89,62.64
YDR495C,-0.4,91.75
YDR496C,-0.59,86.84
YDR497C,0.38,102.82
YDR498C,-0.3,92.63
YDR499W,-0.25,99.04
YDR500C,-1.18,19.77
YDR501W,-0.61,77.45
YDR502C,-0.31,81.23
YDR503C,0.27,101.45
YDR504C,0.84,90.67
YDR505C,-0.79,66.46
YDR506C,-0.3,80.73
YDR507C,-0.8,76.47
YDR508C,0.11,88.9
YDR509W,0.53,95.39
YDR510W,-0.85,66.9
YDR511W,-0.82,82.17
YDR512C,-0.57,57.49
YDR513W,0.02,101.87
YDR514C,-0.46,78.0
YDR515W,-1.14,52.64
YDR516C,-0.23,90.44
YDR517W,-0.4,76.32
YDR518W,-0.17,93.41
YDR519W,0.36,103.77
YDR520C,-0.43,76.6
YDR521W,0.57,106.82
YDR522C,-0.17,99.62
YDR523C,-0.39,82.96
YDR524C,-0.42,80.2
YDR525W,-0.76,47.73
YDR526C,0.76,109.5
YDR527W,-0.81,74.11
YDR528W,-0.75,64.44
YDR529C,-0.3,98.04
YDR530C,-0.5,73.41
YDR531W,-0.25,79.04
YDR532C,-0.61,87.17
YDR533C,-0.26,76.08
YDR534C,-0.06,64.89
YDR535C,0.32,99.04
YDR536W,0.1,84.14
YDR537C,0.35,102.72
YDR538W,0.14,97.58
YDR539W,-0.12,88.26
YDR540C,-0.95,62.48
YDR541C,-0.28,87.91
YDR542W,0.32,92.44
YDR543C,-0.22,81.41
YDR544C,-0.43,80.72
YDR545W,-0.37,76.24
YEL059C-A,-0.52,58.12
YEL076C-A,-0.3,89.93
YEL075W-A,-0.04,84.17
YER007C-A,-0.18,95.18
YER060W-A,0.52,98.32
YER066C-A,0.17,100.41
YER093C-A,-0.23,74.77
YER119C-A,-0.5,74.08
YFL002W-A,-0.69,73.75
YFL012W-A,0.75,143.34
YFL017W-A,0.02,120.02
YFR024C-A,-0.61,58.48
YGL001C,-0.16,85.79
YGL002W,-0.17,86.44
YGL003C,-0.5,73.12
YGL004C,-0.34,81.32
YGL005C,-0.5,85.81
YGL006W,-0.15,89.69
YGL007W,0.0,77.01
YGL008C,0.12,96.28
YGL009C,-0.35,79.28
YGL010W,0.52,120.57
YGL011C,-0.25,77.61
YGL012W,0.12,79.88
YGL013C,-0.42,75.21
YGL014W,-0.55,72.65
YGL015C,-0.77,67.22
YGL016W,-0.01,98.11
YGL017W,-0.37,73.35
YGL018C,-0.82,74.33
YGL019W,-0.68,55.73
YGL020C,-0.13,86.54
YGL021W,-0.59,81.02
YGL022W,0.32,94.36
YGL023C,-0.96,61.38
YGL024W,1.24,153.3
YGL025C,-0.68,64.11
YGL026C,-0.16,84.12
YGL027C,-0.44,74.94
YGL028C,-0.21,72.41
YGL029W,-1.62,47.92
YGL030W,0.02,104.89
YGL031C,-1.05,53.66
YGL032C,0.2,81.85
YGL033W,-0.66,87.09
YGL034C,-0.33,68.88
YGL035C,-0.84,63.77
YGL036W,-0.34,90.68
YGL037C,-0.51,78.56
YGL038C,-0.52,77.12
YGL039W,-0.18,79.18
YGL040C,-0.09,90.29
YGL041C,0.91,120.56
YGL042C,0.69,109.39
YGL043W,-0.8,67.77
YGL044C,-0.52,78.7
YGL045W,-0.53,77.06
YGL047W,-0.03,91.66
YGL048C,-0.26,93.85
YGL049C,-1.08,54.13
YGL050W,-0.45,82.16
YGL051W,-0.21,92.08
YGL052W,-0.74,69.11
YGL053W,-0.22,82.48
YGL054C,0.69,121.86
YGL055W,-0.29,77.99
YGL056C,-0.45,84.58
YGL057C,-0.25,89.7
YGL058W,-0.82,57.06
YGL059W,-0.38,85.16
YGL060W,-0.12,97.62
YGL061C,-0.79,73.71
YGL062W,-0.2,87.38
YGL063W,-0.27,81.5
YGL064C,-0.32,92.32
YGL065C,-0.01,93.01
YGL066W,-1.19,51.5
YGL067W,-0.22,80.03
YGL068W,-0.13,93.65
YGL069C,0.76,117.97
YGL070C,-0.66,52.14
YGL071W,-0.89,62.11
YGL072C,0.79,115.08
YGL073W,-1.02,59.18
YGL074C,1.07,119.31
YGL075C,-0.53,80.95
YGL076C,-0.43,86.13
YGL077C,0.42,93.28
YGL078C,-0.6,81.51
YGL079W,-0.74,69.54
YGL080W,-0.32,70.21
YGL081W,-0.54,80.6
YGL082W,-0.7,71.72
YGL083W,-0.25,87.36
YGL084C,0.36,103.95
YGL085W,-0.63,68.52
YGL086W,-0.98,79.15
YGL087C,-0.74,63.17
YGL088W,0.6,104.55
YGL089C,-0.02,82.06
YGL090W,-0.77,76.64
YGL091C,-0.13,90.89
YGL092W,-0.46,75.77
YGL093W,-0.74,71.85
YGL094C,-0.39,81.27
YGL095C,-0.46,87.93
YGL096W,-0.72,68.7
YGL097W,-0.44,72.95
YGL098W,-0.52,80.43
YGL099W,-0.72,72.72
YGL100W,-0.46,76.84
YGL101W,-0.58,79.07
YGL102C,0.07,81.27
YGL103W,-0.61,69.71
YGL104C,0.52,115.34
YGL105W,-0.61,73.94
YGL106W,-0.4,89.38
YGL107C,-0.41,82.43
YGL108C,-1.48,42.66
YGL109W,-0.49,63.64
YGL110C,-0.68,83.07
YGL111W,-0.37,87.26
YGL112C,-0.21,97.15
YGL113W,-0.75,77.44
YGL114W,0.39,107.91
YGL115W,-0.01,108.52
YGL116W,-0.53,73.62
YGL117W,-0.31,92.06
YGL118C,0.01,85.16
YGL119W,-0.37,80.8
YGL120C,-0.47,81.17
YGL121C,-0.43,83.39
YGL122C,-0.8,55.9
YGL123W,-0.28,88.46
YGL124C,-0.34,84.05
YGL125W,-0.34,85.71
YGL126W,0.19,92.36
YGL127C,-0.28,84.05
YGL128C,-0.59,91.17
YGL129C,-0.36,85.92
YGL130W,-0.56,73.85
