,Gene Name,DTT Fold Change,DTT Intensity (Median),DTT Localization,DTT STD,Description,H2O2 Fold Change,H2O2 Intensity (Median),H2O2 Localization,H2O2 STD,MA3 Fold Change,MA3 Intensity (Median),MA3 Localization,MA3 STD,N' NATIVEpr-GFP in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' NOP1pr-GFP in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' TEF2pr-mCherry in SD Localization,ORF,Pup2 DAmP Localization,SD Intensity (Median),SD Localization,SD STD,Significance of DTT Intensity (Median) Change,Significance of H2O2 Intensity (Median) Change,Significance of MA3 Intensity (Median) Change,Significance of Starvation Intensity (Median) Change,Starvation Fold Change,Starvation Intensity (Median),Starvation Localization,Starvation STD
2590,NFU1,1.09,87.04,mitochondria,,"Protein involved in iron metabolism in mitochondria; similar to NifU, which is a protein required for the maturation of the Fe/S clusters of nitrogenase in nitrogen-fixing bacteria",1.11,89.07,mitochondria,,,,,,45.3,"cytosol,mitochondria",122.8,mitochondria,44.76,,119.39,mitochondria,YKL040C,,79.61,mitochondria,,0.0,0.0,,0.0,0.88,70.18,mitochondria,
2591,NGG1,1.02,30.34,nucleus,,"Transcriptional regulator involved in glucose repression of Gal4p-regulated genes; component of transcriptional adaptor and histone acetyltransferase complexes, the ADA complex, the SAGA complex, and the SLIK complex",1.07,31.68,nucleus,,,,,,27.22,nucleus,39.4,nucleus,25.38,below threshold,12.55,nucleus,YDR176W,,29.59,nucleus,,0.0,0.0,,0.0,0.84,24.91,nucleus,
2592,NGL1,,,mitochondria,,"Putative endonuclease, has a domain similar to a magnesium-dependent endonuclease motif in mRNA deadenylase Ccr4p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",1.16,19.84,mitochondria,,,,,,22.24,punctate,88.38,"punctate,mitochondria",27.1,,13.93,"punctate,mitochondria",YOL042W,,17.05,mitochondria,,,0.0,,0.0,1.61,27.48,mitochondria,
2593,NGL2,1.11,25.91,cytosol,,Protein involved in 5.8S rRNA processing; Ccr4p-like RNase required for correct 3'-end formation of 5.8S rRNA at site E; similar to Ngl1p and Ngl3p,0.83,19.45,cytosol,,,,,,35.07,cytosol,103.36,cytosol,0.0,,0.0,cytosol,YMR285C,,23.15,cytosol,,0.0,0.0,,0.0,0.66,15.42,cytosol,
2594,NGL3,1.16,21.54,cytosol,,"Putative endonuclease, has a domain similar to a magnesium-dependent endonuclease motif in mRNA deadenylase Ccr4p; similar to Ngl1p and Ngl2p",0.99,18.32,cytosol,,,,,,19.47,punctate,52.93,cytosol,44.14,cytosol,,cytosol,YML118W,,18.42,below threshold,,0.0,0.0,,0.0,1.25,23.17,cytosol,
2595,NGR1,1.03,45.49,cytosol,,RNA binding protein that negatively regulates growth rate; interacts with the 3' UTR of the mitochondrial porin (POR1) mRNA and enhances its degradation; overexpression impairs mitochondrial function; expressed in stationary phase,1.22,53.8,cytosol,,,,,,35.26,"cytosol,punctate",108.79,cytosol,0.0,,74.06,cytosol,YBR212W,,43.9,cytosol,,0.0,0.0,,0.0,0.89,39.46,cytosol,
2596,NHA1,1.0,15.25,cytosol,,Na+/H+ antiporter involved in sodium and potassium efflux through the plasma membrane; required for alkali cation tolerance at acidic pH,1.03,15.65,cytosol,,,,,,27.72,ER,53.63,ER,28.01,below threshold,47.38,ER,YLR138W,,15.15,below threshold,,0.0,0.0,,0.0,1.11,16.92,cytosol,
2597,NHP10,0.99,51.06,nucleus,,"Protein related to mammalian high mobility group proteins; binds preferentially to DNA ends and is able to protect them from exonuclease cleavage; likely component of the INO80 complex, which is an ATP-dependent chromatin-remodeling complex",0.7,36.08,nucleus,,,,,,39.49,nucleus,110.26,nucleus,0.0,,0.0,missing,YDL002C,,51.23,nucleus,,0.0,0.0,,0.0,1.16,59.69,nucleus,
2598,NHP2,0.84,186.81,nucleolus,,"Nuclear protein related to mammalian high mobility group (HMG) proteins, essential for function of H/ACA-type snoRNPs, which are involved in 18S rRNA processing",0.84,186.81,nucleolus,,,,,,129.12,"nucleus,nucleolus",240.32,nucleolus,63.12,nucleolus,185.3,"nucleus,nucleolus",YDL208W,,220.81,nucleolus,,0.0,0.0,,0.0,0.67,149.56,nucleolus,
2599,NHP6A,1.16,179.51,nucleus,,"High-mobility group non-histone chromatin protein, functionally redundant with Nhp6Bp; homologous to mammalian high mobility group proteins 1 and 2; acts to recruit transcription factor Rcs1p to certain promoters",0.72,111.2,nucleus,,,,,,137.6,nucleus,310.96,nucleus,78.57,nucleus,517.22,nucleus,YPR052C,,153.88,nucleus,,0.0,0.0,,0.0,0.81,126.01,nucleus,
2600,NHP6B,1.25,122.63,nucleus,,"High-mobility group non-histone chromatin protein, functionally redundant with Nhp6Ap; homologous to mammalian high mobility group proteins 1 and 2; acts to recruit transcription factor Rcs1p to certain promoters",0.93,91.45,nucleus,,,,,,79.03,nucleus,262.02,nucleus,71.6,nucleus,417.7,nucleus,YBR089C-A,,97.51,nucleus,,0.0,0.0,,1.0,1.69,165.65,nucleus,
2601,NHX1,0.97,29.61,punctate,,"Endosomal Na+/H+ exchanger, required for intracellular sequestration of Na+; required for osmotolerance to acute hypertonic shock",0.89,27.14,punctate,,,,,,24.72,below threshold,74.65,ER,25.97,below threshold,66.91,ER,YDR456W,,30.22,punctate,,0.0,0.0,,1.0,1.35,40.88,punctate,
2602,NIC96,0.84,46.56,nuclear periphery,,"Component of the nuclear pore complex, required for nuclear pore formation; forms a subcomplex with Nsp1p, Nup57p, and Nup49p",0.91,50.15,nuclear periphery,,,,,,72.77,"punctate,nuclear periphery",113.2,"punctate,nuclear periphery",36.96,nuclear periphery,106.73,"punctate,nuclear periphery",YFR002W,,54.9,nuclear periphery,,0.0,0.0,,0.0,1.27,70.04,nuclear periphery,
2603,NIF3,1.1,40.09,mitochondria,,"Protein of unknown function, similar to Listeria monocytogenes major sigma factor (rpoD gene product); the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.98,35.98,mitochondria,,,,,,46.47,cytosol,234.36,cytosol,70.97,cytosol,306.46,cytosol,YGL221C,,36.36,mitochondria,,0.0,0.0,,0.0,0.74,26.97,mitochondria,
2604,NIP1,0.84,274.16,cytosol,,"eIF3c subunit of the eukaryotic translation initiation factor 3 (eIF3), involved in the assembly of preinitiation complex and start codon selection",0.9,293.06,cytosol,,,,,,0.0,missing,137.5,cytosol,47.31,cytosol,76.13,cytosol,YMR309C,,324.42,cytosol,,0.0,0.0,,-1.0,0.47,154.04,cytosol,
2605,NIP100,1.0,17.78,cytosol,,"Large subunit of the dynactin complex, which is involved in partitioning the mitotic spindle between mother and daughter cells; putative ortholog of mammalian p150(glued)",0.99,17.72,cytosol,,,,,,20.67,punctate,46.66,"cytosol,punctate",26.73,below threshold,15.78,punctate,YPL174C,,17.78,below threshold,,0.0,0.0,,0.0,0.88,15.72,cytosol,
2606,NIP7,1.0,15.74,cytosol,,"Nucleolar protein required for 60S ribosome subunit biogenesis, constituent of 66S pre-ribosomal particles; physically interacts with Nop8p and the exosome subunit Rrp43p",1.04,16.51,cytosol,,,,,,0.0,missing,144.16,"nucleus,nucleolus",43.64,"nucleus,nucleolus",,missing,YPL211W,,15.74,below threshold,,0.0,0.0,,0.0,1.1,17.32,cytosol,
2607,NIS1,0.66,14.86,bud neck,,Protein localized in the bud neck at G2/M phase; physically interacts with septins; possibly involved in a mitotic signaling network,0.94,21.14,bud neck,,,,,,25.28,"punctate,bud neck",38.49,"cytosol,bud neck",26.56,,0.0,missing,YNL078W,,,bud neck,,-1.0,0.0,,-1.0,0.68,15.33,bud neck,
2608,NIT1,,,cytosol,,"Nitrilase, member of the nitrilase branch of the nitrilase superfamily; in closely related species and other S. cerevisiae strain backgrounds YIL164C and adjacent ORF, YIL165C, likely constitute a single ORF encoding a nitrilase gene",,,cytosol,,,,,,16.25,below threshold,33.55,cytosol,21.25,,5.08,below threshold,YIL164C,,16.98,below threshold,,,,,,,,cytosol,
2609,NIT2,1.05,14.55,cytosol,,"Nit protein, one of two proteins in S. cerevisiae with similarity to the Nit domain of NitFhit from fly and worm and to the mouse and human Nit protein which interacts with the Fhit tumor suppressor; nitrilase superfamily member",1.23,16.96,cytosol,,,,,,23.5,below threshold,94.12,cytosol,37.45,cytosol,145.04,cytosol,YJL126W,,13.77,below threshold,,0.0,0.0,,0.0,1.19,16.47,cytosol,
2610,NIT3,1.15,47.71,mitochondria,,"Nit protein, one of two proteins in S. cerevisiae with similarity to the Nit domain of NitFhit from fly and worm and to the mouse and human Nit protein which interacts with the Fhit tumor suppressor; nitrilase superfamily member",1.02,42.22,mitochondria,,,,,,28.16,cytosol,207.59,cytosol,,,342.88,cytosol,YLR351C,,41.15,mitochondria,,0.0,0.0,,0.0,1.33,54.77,mitochondria,
2611,NKP1,,,,,,,,,,,,,,28.89,punctate,76.71,"cytosol,punctate",33.64,punctate,109.99,cytosol,YDR383C,,,,,,,,,,,,
2612,NKP2,0.9,23.8,punctate,,"Non-essential kinetochore protein, subunit of the Ctf19 central kinetochore complex (Ctf19p-Mcm21p-Okp1p-Mcm22p-Mcm16p-Ctf3p-Chl4p-Mcm19p-Nkp1p-Nkp2p-Ame1p-Mtw1p)",0.83,22.13,punctate,,,,,,26.22,punctate,41.54,"cytosol,punctate",0.0,,12.79,punctate,YLR315W,,26.38,punctate,,0.0,0.0,,0.0,0.81,21.45,punctate,
2613,NMA1,1.08,44.03,cytosol,,"Nicotinic acid mononucleotide adenylyltransferase, involved in pathways of NAD biosynthesis, including the de novo, NAD(+) salvage, and nicotinamide riboside salvage pathways",1.17,47.97,cytosol,,,,,,43.48,cytosol,118.5,cytosol,0.0,,156.96,"ER,vacuole",YLR328W,,40.73,cytosol,,0.0,0.0,,0.0,0.56,22.84,cytosol,
2614,NMA111,0.6,29.3,nucleus,,Serine protease and general molecular chaperone; involved in response to heat stress and promotion of apoptosis; may contribute to lipid homeostasis; sequence similarity to the mammalian Omi/HtrA2 family of serine proteases,1.06,52.01,nucleus,,,,,,66.61,nucleus,124.22,nucleus,39.09,"nucleus,nucleolus",133.56,"nucleus,nucleolus",YNL123W,,48.62,nucleus,,-1.0,0.0,,-1.0,0.5,24.4,nucleus,
2615,NMA2,0.95,18.07,cytosol,,"Nicotinic acid mononucleotide adenylyltransferase, involved in de novo and salvage synthesis of NAD(+)",0.95,18.09,cytosol,,,,,,26.5,cytosol,96.23,cytosol,53.66,cytosol,30.02,cytosol,YGR010W,,18.9,below threshold,,0.0,0.0,,0.0,1.16,22.05,cytosol,
2616,NMD2,0.92,27.98,cytosol,,Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance,1.09,32.97,cytosol,,,,,,28.31,cytosol,51.01,cytosol,39.54,cytosol,55.91,cytosol,YHR077C,,30.11,cytosol,,0.0,0.0,,0.0,0.77,23.38,cytosol,
2617,NMD3,0.86,79.4,cytosol,,Protein involved in nuclear export of the large ribosomal subunit; acts as a Crm1p-dependent adapter protein for export of nascent ribosomal subunits through the nuclear pore complex,0.84,77.47,cytosol,,,,,,66.77,cytosol,159.68,cytosol,64.13,cytosol,28.72,cytosol,YHR170W,,91.44,cytosol,,0.0,0.0,,,,,cytosol,
2618,NMD4,0.99,51.69,cytosol,,"Protein interacting with Nam7p, may be involved in the nonsense-mediated mRNA decay pathway",0.81,42.64,cytosol,,,,,,43.38,cytosol,157.38,cytosol,41.52,cytosol,117.86,cytosol,YLR363C,,52.13,cytosol,,0.0,0.0,,0.0,0.76,40.09,cytosol,
2619,NMD5,,,cytosol,,"Karyopherin, a carrier protein involved in nuclear import of proteins; importin beta homolog",1.24,28.44,cytosol,,,,,,45.62,nucleus,117.71,"cytosol,punctate,nucleus",58.64,"cytosol,nucleus",145.87,nucleus,YJR132W,,22.84,cytosol,,,0.0,,0.0,0.83,19.11,cytosol,
2620,NMT1,,,cytosol,,"N-myristoyl transferase, catalyzes the cotranslational, covalent attachment of myristic acid to the N-terminal glycine residue of several proteins involved in cellular growth and signal transduction",,,cytosol,,,,,,40.88,cytosol,119.88,cytosol,0.0,,211.05,cytosol,YLR195C,,14.98,below threshold,,,,,,,,cytosol,
2621,NNF1,0.79,23.15,punctate,,Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; required for accurate chromosome segregation,0.97,28.33,punctate,,,,,,23.19,punctate,43.96,mitochondria,0.0,,0.0,"cell periphery,vacuole",YJR112W,,29.18,punctate,,0.0,0.0,,0.0,0.74,21.78,punctate,
2622,NNF2,0.82,21.46,ER,,"Protein that exhibits physical and genetic interactions with Rpb8p, which is a subunit of RNA polymerases I, II, and III; computational analysis of large-scale protein-protein interaction data suggests a role in chromosome segregation",1.06,27.69,ER,,,,,,18.56,below threshold,38.54,ER,24.67,below threshold,15.33,ER,YGR089W,,25.91,ER,,0.0,0.0,,-1.0,0.76,19.78,ER,
2623,NNK1,,,,,Putative protein kinase; implicated in proteasome function; epitope-tagged protein localizes to the cytoplasm,,,,,,,,,23.76,ambiguous,36.04,cytosol,0.0,,22.56,nucleus,YKL171W,,,,,,,,,,,,
2624,NNR1,,,,,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",,,,,,,,,51.74,cytosol,151.84,cytosol,75.65,nucleus,276.24,cytosol,YNL200C,,,,,,,,,,,,
2625,NNR2,,,,,Putative protein of unknown function; YKL151C promoter contains STREs (stress response elements) and expression is induced by heat shock or methyl methanesulfonate; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,,,,,,,,,43.49,cytosol,162.46,cytosol,69.41,cytosol,254.98,cytosol,YKL151C,,,,,,,,,,,,
2626,NNT1,0.91,47.44,cytosol,,"Putative nicotinamide N-methyltransferase, has a role in rDNA silencing and in lifespan determination",1.15,60.12,cytosol,,,,,,35.01,cytosol,148.86,cytosol,0.0,,238.26,cytosol,YLR285W,,52.01,cytosol,,0.0,0.0,,0.0,1.05,55.1,cytosol,
2627,NOB1,0.97,16.65,cytosol,,Essential nuclear protein involved in proteasome maturation and synthesis of 40S ribosomal subunits; required for cleavage of the 20S pre-rRNA to generate the mature 18S rRNA,0.88,15.18,cytosol,,,,,,55.93,cytosol,119.65,cytosol,47.63,cytosol,130.61,cytosol,YOR056C,,17.09,below threshold,,0.0,0.0,,0.0,0.81,13.98,cytosol,
2628,NOC2,0.68,102.61,nucleolus,,"Protein that forms a nucleolar complex with Mak21p that binds to 90S and 66S pre-ribosomes, as well as a nuclear complex with Noc3p that binds to 66S pre-ribosomes; both complexes mediate intranuclear transport of ribosomal precursors",0.95,143.81,nucleolus,,,,,,124.26,"nucleus,nucleolus",99.97,nucleolus,,,76.06,"nucleus,nucleolus",YOR206W,,149.86,nucleolus,,0.0,0.0,,-1.0,0.28,43.05,nucleolus,
2629,NOC3,,,,,,,,,,,,,,60.77,"nucleus,nucleolus",95.53,nucleolus,,,42.09,"nucleus,nucleolus",YLR002C,,,,,,,,,,,,
2630,NOC4,1.05,16.62,cytosol,,"Nucleolar protein, forms a complex with Nop14p that mediates maturation and nuclear export of 40S ribosomal subunits",1.05,16.65,cytosol,,,,,,55.66,"nucleus,nucleolus",66.23,"nucleus,nucleolus",0.0,,,missing,YPR144C,,15.8,below threshold,,0.0,0.0,,0.0,1.08,17.17,cytosol,
2631,NOG1,0.78,137.8,nucleus,,Putative GTPase that associates with free 60S ribosomal subunits in the nucleolus and is required for 60S ribosomal subunit biogenesis; constituent of 66S pre-ribosomal particles; member of the ODN family of nucleolar G-proteins,1.02,180.38,nucleus,,,,,,22.94,"punctate,nucleus",57.34,nucleolus,38.22,"punctate,nuclear periphery",42.67,"punctate,nucleus",YPL093W,,175.46,nucleus,,0.0,0.0,,,,,"punctate,nucleus",
2632,NOG2,0.66,73.94,nucleus,,Putative GTPase that associates with pre-60S ribosomal subunits in the nucleolus and is required for their nuclear export and maturation,1.18,130.89,nucleus,,,,,,52.29,nucleus,63.47,nucleus,30.67,nucleus,,missing,YNR053C,,110.51,nucleus,,0.0,0.0,,-1.0,0.23,25.8,nucleus,
2633,NOP10,,,,,,,,,,,,,,183.06,cytosol,316.46,nucleolus,58.43,nucleolus,264.25,"nucleus,nucleolus",YHR072W-A,,,,,,,,,,,,
2634,NOP12,0.47,37.59,nucleolus,,Nucleolar protein involved in pre-25S rRNA processing and biogenesis of large 60S ribosomal subunit; contains an RNA recognition motif (RRM); binds to Ebp2; similar to Nop13p and Nsr1p,1.2,95.12,nucleolus,,,,,,60.54,"nucleus,nucleolus",148.47,nucleolus,61.71,"nucleus,nucleolus",176.44,"nucleus,nucleolus",YOL041C,,79.19,nucleolus,,-1.0,0.0,,-1.0,0.51,40.77,nucleolus,
2635,NOP13,0.62,45.48,nucleus,,Nucleolar protein found in preribosomal complexes; contains an RNA recognition motif (RRM),0.99,72.27,nucleus,,,,,,95.63,nucleus,168.74,nuclear periphery,,,250.73,"nucleus,nucleolus",YNL175C,,72.4,nucleus,,-1.0,0.0,,,,,nucleus,
2636,NOP14,0.95,15.77,cytosol,,"Nucleolar protein, forms a complex with Noc4p that mediates maturation and nuclear export of 40S ribosomal subunits; also present in the small subunit processome complex, which is required for processing of pre-18S rRNA",1.05,17.34,cytosol,,,,,,66.49,"nucleus,nucleolus",135.66,"nucleus,nucleolus",0.0,,,missing,YDL148C,,16.45,below threshold,,0.0,0.0,,0.0,0.95,15.68,cytosol,
2637,NOP15,0.63,71.54,nucleus,,"Constituent of 66S pre-ribosomal particles, involved in 60S ribosomal subunit biogenesis; localizes to both nucleolus and cytoplasm",0.4,45.49,nucleus,,,,,,136.34,nucleus,150.85,nucleolus,61.42,"nucleus,nucleolus",210.62,"nucleus,nucleolus",YNL110C,,113.38,nucleus,,-1.0,-1.0,,-1.0,0.29,33.8,nucleus,
2638,NOP16,0.87,69.62,nucleus,,"Constituent of 66S pre-ribosomal particles, involved in 60S ribosomal subunit biogenesis",0.78,62.71,nucleus,,,,,,101.94,cytosol,124.14,cytosol,41.68,cytosol,205.34,cytosol,YER002W,,79.41,nucleus,,0.0,0.0,,,,,"punctate,nucleus",
2639,NOP19,,,,,Essential protein required for maturation of 18S rRNA; green fluorescent protein (GFP)-fusion protein localizes to both the nucleus and the nucleolus,,,,,,,,,29.55,"nucleus,nucleolus",83.5,nucleus,36.32,nucleus,116.11,nucleus,YGR251W,,,,,,,,,,,,
2640,NOP2,0.76,94.48,nucleus,,"Probable RNA m(5)C methyltransferase, essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis; localized to the nucleolus; constituent of 66S pre-ribosomal particles",0.96,119.13,nucleus,,,,,,21.75,"nucleus,nucleolus",146.82,nucleolus,43.65,"nucleus,nucleolus",73.98,"nucleus,nucleolus",YNL061W,,123.16,nucleus,,0.0,0.0,,,,,punctate,
2641,NOP4,,,,,,,,,,,,,,56.73,"nucleus,nucleolus",128.41,"nucleus,nucleolus",35.65,"nucleus,nucleolus",16.53,"nucleus,nucleolus",YPL043W,,,,,,,,,,,,
2642,NOP53,1.09,16.43,cytosol,,Nucleolar protein; involved in biogenesis of the 60S subunit of the ribosome; interacts with rRNA processing factors Cbf5p and Nop2p; null mutant is viable but growth is severely impaired,1.11,16.7,cytosol,,,,,,,missing,141.3,"nucleus,nucleolus",0.0,,127.35,"nucleus,nucleolus",YPL146C,,15.02,below threshold,,0.0,0.0,,0.0,1.13,17.05,cytosol,
2643,NOP56,0.79,19.33,nucleolus,,Essential evolutionarily-conserved nucleolar protein component of the box C/D snoRNP complexes that direct 2'-O-methylation of pre-rRNA during its maturation; overexpression causes spindle orientation defects,1.09,26.86,nucleolus,,,,,,282.59,"nucleus,nucleolus",351.55,nucleolus,0.0,,181.7,"nucleus,nucleolus",YLR197W,,24.45,nucleolus,,0.0,0.0,,-1.0,0.74,18.17,nucleolus,
2644,NOP58,1.0,258.34,nucleolus,,"Protein involved in pre-rRNA processing, 18S rRNA synthesis, and snoRNA synthesis; component of the small subunit processome complex, which is required for processing of pre-18S rRNA",1.21,311.4,nucleolus,,,,,,184.02,nucleolus,273.81,nucleolus,0.0,,251.43,"nucleus,nucleolus",YOR310C,,256.69,nucleolus,,0.0,0.0,,-1.0,0.51,133.41,nucleolus,
2645,NOP6,1.04,18.13,cytosol,,Putative RNA-binding protein implicated in ribosome biogenesis; contains an RNA recognition motif (RRM) and has similarity to hydrophilins; NOP6 may be a fungal-specific gene as no homologs have been yet identified in higher eukaryotes,0.83,14.41,cytosol,,,,,,59.39,"nucleus,nucleolus",176.7,nucleolus,62.6,"nucleus,nucleolus",177.97,below threshold,YDL213C,,17.28,below threshold,,0.0,0.0,,0.0,0.98,17.02,cytosol,
2646,NOP7,0.88,17.06,cytosol,,Component of several different pre-ribosomal particles; forms a complex with Ytm1p and Erb1p that is required for maturation of the large ribosomal subunit; required for exit from G<sub>0</sub> and the initiation of cell proliferation,0.93,17.93,cytosol,,,,,,21.09,below threshold,133.99,mitochondria,29.17,,0.0,missing,YGR103W,,19.23,cytosol,,0.0,0.0,,0.0,0.73,14.04,cytosol,
2647,NOP8,,,,,,,,,,,,,,43.3,"nucleus,nucleolus",65.38,"nucleus,nucleolus",29.31,nucleolus,17.32,"nucleus,nucleolus",YOL144W,,,,,,,,,,,,
2648,NOP9,0.76,54.82,nucleolus,,Essential subunit of U3-containing 90S preribosome involved in production of 18S rRNA and assembly of small ribosomal subunit; also part of pre-40S ribosome and required for its export into cytoplasm; binds RNA and contains pumilio domain,0.96,69.08,nucleolus,,,,,,71.15,"nucleus,nucleolus",126.92,nucleolus,56.66,"nucleus,nucleolus",195.9,nucleus,YJL010C,,71.94,nucleolus,,0.0,0.0,,-1.0,0.49,35.38,nucleolus,
2649,NOT3,0.91,44.69,cytosol,,"Subunit of the CCR4-NOT complex, which is a global transcriptional regulator with roles in transcription initiation and elongation and in mRNA degradation",1.01,49.51,cytosol,,,,,,18.75,cytosol,79.39,cytosol,34.23,cytosol,23.64,cytosol,YIL038C,,48.71,cytosol,,0.0,0.0,,0.0,0.94,46.17,cytosol,
2650,NOT5,1.22,62.5,cytosol,,"Subunit of the CCR4-NOT complex, which is a global transcriptional regulator with roles in transcription initiation and elongation and in mRNA degradation",1.19,60.95,cytosol,,,,,,29.81,below threshold,100.92,cytosol,47.68,cytosol,80.82,cytosol,YPR072W,,51.18,cytosol,,0.0,0.0,,0.0,0.75,38.39,cytosol,
2651,NPA3,0.79,58.08,cytosol,,"Essential, conserved, cytoplasmic ATPase; phosphorylated by the Pcl1p-Pho85p kinase complex",1.11,81.79,cytosol,,,,,,63.92,cytosol,157.84,cytosol,49.34,cytosol,267.76,cytosol,YJR072C,,73.03,cytosol,,0.0,0.0,,0.0,0.95,70.02,cytosol,
2652,NPC2,0.71,16.36,vacuole,,"Functional homolog of human NPC2/He1, which is a cholesterol-binding protein whose deficiency causes Niemann-Pick type C2 disease involving retention of cholesterol in lysosomes",0.84,19.31,vacuole,,,,,,32.88,vacuole,112.38,"ER,vacuole",36.0,,54.01,vacuole,YDL046W,,22.96,vacuole,,-1.0,0.0,,1.0,1.96,45.05,vacuole,
2653,NPL3,0.82,15.44,cytosol,,"RNA-binding protein that promotes elongation, regulates termination, and carries poly(A) mRNA from nucleus to cytoplasm; required for pre-mRNA splicing; dissociation from mRNAs promoted by Mtr10p; phosphorylated by Sky1p in the cytoplasm",0.86,16.22,cytosol,,,,,,350.12,nucleus,330.6,nucleus,0.0,,172.33,nucleus,YDR432W,,18.79,cytosol,,0.0,0.0,,0.0,0.76,14.42,cytosol,
2654,NPL4,1.35,56.47,"nucleus,cytosol",,"Endoplasmic reticulum and nuclear membrane protein, forms a complex with Cdc48p and Ufd1p that recognizes ubiquitinated proteins in the endoplasmic reticulum and delivers them to the proteasome for degradation",1.49,62.26,"nucleus,cytosol",,,,,,45.09,nucleus,87.61,"cytosol,nucleus",45.69,cytosol,97.97,"cytosol,nucleus",YBR170C,,41.7,"nucleus,cytosol",,1.0,1.0,,0.0,1.06,44.46,"nucleus,cytosol",
2655,NPL6,1.06,52.84,nucleus,,"Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rsc30p, Ldb7p, and Htl1p to form a module important for a broad range of RSC functions; involved in nuclear protein import and maintenance of proper telomere length",1.09,54.73,nucleus,,,,,,55.15,nucleus,84.24,nucleus,,,40.07,nucleus,YMR091C,,49.79,nucleus,,0.0,0.0,,0.0,1.09,54.44,nucleus,
2656,NPP1,1.02,15.08,cytosol,,Nucleotide pyrophosphatase/phosphodiesterase family member; mediates extracellular nucleotide phosphate hydrolysis along with Npp2p and Pho5p; activity and expression enhanced during conditions of phosphate starvation,1.06,15.63,cytosol,,,,,,26.62,punctate,54.18,punctate,38.85,punctate,80.61,punctate,YCR026C,,14.68,below threshold,,0.0,0.0,,0.0,1.17,17.22,cytosol,
2657,NPP2,1.18,17.57,cytosol,,Nucleotide pyrophosphatase/phosphodiesterase family member; mediates extracellular nucleotide phosphate hydrolysis along with Npp1p and Pho5p; activity and expression enhanced during conditions of phosphate starvation,1.16,17.19,cytosol,,,,,,17.24,below threshold,30.83,ER,26.35,below threshold,14.37,vacuole,YEL016C,,14.8,below threshold,,0.0,0.0,,0.0,1.17,17.47,cytosol,
2658,NPR1,0.91,35.42,cytosol,,Protein kinase that stabilizes several plasma membrane amino acid transporters by antagonizing their ubiquitin-mediated degradation,0.9,35.11,cytosol,,,,,,25.73,cytosol,66.71,cytosol,26.98,below threshold,83.49,cytosol,YNL183C,,38.82,cytosol,,0.0,0.0,,0.0,1.31,51.1,cytosol,
2659,NPR2,,,,,,,,,,,,,,23.78,"ambiguous,ER",48.22,cytosol,0.0,,28.32,nucleus,YEL062W,,,,,,,,,,,,
2660,NPR3,0.92,18.51,cytosol,,"Component, with Npr2p, of an evolutionarily conserved complex that mediates downregulation of TOR Complex 1 activity in response to amino acid limitation; null mutant displays delayed meiotic DNA replication and double-strand break repair",1.11,22.28,cytosol,,,,,,24.6,ambiguous,53.27,"cytosol,punctate",25.84,below threshold,29.94,cytosol,YHL023C,,19.96,cytosol,,0.0,0.0,,0.0,0.96,19.2,cytosol,
2661,NPY1,,,,,,,,,,,,,,30.45,"cytosol,punctate",113.9,"cytosol,punctate",49.6,"cytosol,punctate",278.39,"cytosol,punctate",YGL067W,,,,,,,,,,,,
2662,NQM1,,,nucleus,,Transaldolase of unknown function; transcription is repressed by Mot1p and induced by alpha-factor and during diauxic shift,,,nucleus,,,,,,34.67,nucleus,379.35,nucleus,88.0,nucleus,481.86,nucleus,YGR043C,,22.36,nucleus,,,,,,,,nucleus,
2663,NRD1,0.92,16.39,cytosol,,"RNA-binding protein that interacts with the C-terminal domain of the RNA polymerase II large subunit (Rpo21p), preferentially at phosphorylated Ser5; required for transcription termination and 3' end maturation of nonpolyadenylated RNAs",0.97,17.43,cytosol,,,,,,79.93,nucleus,66.24,nucleus,35.53,nucleus,31.14,nucleus,YNL251C,,17.8,below threshold,,0.0,0.0,,0.0,0.85,15.28,cytosol,
2664,NRE1,,,,,Putative cytoplasmic protein of unknown function,,,,,,,,,29.18,cytosol,294.07,cytosol,80.32,cytosol,471.72,cytosol,YIR035C,,,,,,,,,,,,
2665,NRG1,1.31,25.23,nucleus,,Transcriptional repressor that recruits the Cyc8p-Tup1p complex to promoters; mediates glucose repression and negatively regulates a variety of processes including filamentous growth and alkaline pH response,0.92,17.86,nucleus,,,,,,23.59,nucleus,54.01,"nucleus,nucleolus",28.22,nucleus,44.14,nucleus,YDR043C,,19.21,nucleus,,0.0,0.0,,0.0,1.19,22.89,nucleus,
